# t                       norm_latt	                t                  norm_cont
  0.00000000              0.0000000000000000000    	0.00000000   0.00237471524161729 
  3.125000000000000E-002  1.762990553258006E-004	0.03125    0.0023746824083981614381   
  6.250000000000000E-002  5.086584291421744E-004	0.0625    0.0023746409628342950074   
  9.375000000000000E-002  8.457258415221814E-004	0.09375    0.0023745566223751454063   
  0.125000000000000       1.136606586594504E-003	0.125    0.0023744345074354406484   
  0.156250000000000       1.371304728817303E-003	0.15625    0.0023742767605306167052   
  0.187500000000000       1.554851169538802E-003	0.1875    0.0023740838491299860237   
  0.218750000000000       1.696471731439128E-003	0.21875    0.0023738558486279294205   
  0.250000000000000       1.805371729476066E-003	0.25    0.0023735927694006458122   
  0.281250000000000       1.889350330378472E-003	0.28125    0.0023732946127459255553   
  0.312500000000000       1.954561509222484E-003	0.3125    0.0023729613788160493480   
  0.343750000000000       2.005689578318833E-003	0.34375    0.0023725930676280874418   
  0.375000000000000       2.046233713982618E-003	0.375    0.0023721896791838887392   
  0.406250000000000       2.078783883831355E-003	0.40625    0.0023717512134836482041   
  0.437500000000000       2.105250856253946E-003	0.4375    0.0023712776705273859581   
  0.468750000000000       2.127045253409406E-003	0.46875    0.0023707690503151040417   
  0.500000000000000       2.145212018336076E-003	0.5    0.0023702253528468026589   
  0.531250000000000       2.160529407935920E-003	0.53125    0.0023696465781224818296   
  0.562500000000000       2.173581079702154E-003	0.5625    0.0023690327261421415559   
  0.593750000000000       2.184808302882880E-003	0.59375    0.0023683837969057818380   
  0.625000000000000       2.194547706146224E-003	0.625    0.0023676997904134026759   
  0.656250000000000       2.203058586525075E-003	0.65625    0.0023669807066650040696   
  0.687500000000000       2.210542714287497E-003	0.6875    0.0023662265456605860190   
  0.718750000000000       2.217158749397331E-003	0.71875    0.0023654373074001485242   
  0.750000000000000       2.223032785437105E-003	0.75    0.0023646129918836915853   
  0.781250000000000       2.228266104034662E-003	0.78125    0.0023637535991112152022   
  0.812500000000000       2.232940913234073E-003	0.8125    0.0023628591290827193756   
  0.843750000000000       2.237124622701605E-003	0.84375    0.0023619295817982041079   
  0.875000000000000       2.240873051917966E-003	0.875    0.0023609649572576694096   
  0.906250000000000       2.244232856058881E-003	0.90625    0.0023599652554611153199   
  0.937500000000000       2.247243374984332E-003	0.9375    0.0023589304764085419728   
  0.968750000000000       2.249938054139710E-003	0.96875    0.0023578606200999497871   
   1.00000000000000       2.252345545720955E-003	1.    0.0023567556865353399706   
   1.03125000000000       2.254490569374413E-003	1.03125    0.0023556156757147157657   
   1.06250000000000       2.256394590756611E-003	1.0625    0.0023544405876380853242   
   1.09375000000000       2.258076361111101E-003	1.09375    0.0023532304223054679538   
   1.12500000000000       2.259552349984472E-003	1.125    0.0023519851797169069587   
   1.15625000000000       2.260837095147622E-003	1.15625    0.0023507048598724947381   
   1.18750000000000       2.261943487865648E-003	1.1875    0.0023493894627724196238   
   1.21875000000000       2.262883007279999E-003	1.21875    0.0023480389884170496633   
   1.25000000000000       2.263665914435479E-003	1.25    0.0023466534368070767606   
   1.28125000000000       2.264301414040169E-003	1.28125    0.0023452328079437559195   
   1.31250000000000       2.264797790237854E-003	1.3125    0.0023437771018292894133   
   1.34375000000000       2.265162521293486E-003	1.34375    0.0023422863184674250870   
   1.37500000000000       2.265402377048797E-003	1.375    0.0023407604578643621383   
   1.40625000000000       2.265523502185785E-003	1.40625    0.0023391995200300868519   
   1.43750000000000       2.265531487743255E-003	1.4375    0.0023376035049802949156   
