#         C             m      sigmaj_m
 1.191076414   0.331057229   0.000008960
 1.208006032   0.331925502   0.000006043
 1.212833049   0.331374587   0.000006584
 1.205038309   0.331559554   0.000006373
 1.199399031   0.336663245   0.000006885
 1.207554543   0.331127274   0.000006556
 1.220818658   0.335404968   0.000006092
 1.202552773   0.330221111   0.000006091
 1.213023235   0.330708791   0.000007499
 1.213686930   0.334092192   0.000006097
 1.202692558   0.331341134   0.000005193
 1.207438872   0.334030823   0.000008451
 1.199197407   0.331487517   0.000006446
 1.218649671   0.332179212   0.000005503
 1.203269515   0.330790209   0.000006365
 1.217016425   0.331464044   0.000006694
 1.196289194   0.331754622   0.000006928
 1.209492244   0.331294519   0.000005370
 1.205810748   0.330786736   0.000007929
 1.209718273   0.331803697   0.000005450
 1.210709012   0.330880808   0.000006845
 1.196280891   0.330935330   0.000005449
 1.201204652   0.330833248   0.000007538
 1.198605508   0.332520201   0.000005878
 1.217854157   0.331748150   0.000005325
 1.198004033   0.332414018   0.000004529
 1.215956796   0.331550070   0.000005574
 1.203167145   0.329971153   0.000007239
 1.214852077   0.330908979   0.000006865
 1.199962101   0.334999863   0.000007341
 1.207973596   0.330626662   0.000006316
 1.200487149   0.331245968   0.000006316
 1.210545510   0.330082800   0.000005410
 1.201380685   0.330384841   0.000005863
