#         C             m      sigmaj_m
 1.132189454   0.335525327   0.000020656
 1.151918304   0.336234807   0.000015362
 1.158306155   0.335755018   0.000017383
 1.151443789   0.335889637   0.000016893
 1.144656153   0.342025583   0.000016633
 1.154401486   0.335719405   0.000016358
 1.176106544   0.342544743   0.000018338
 1.149911382   0.334901064   0.000015409
 1.162311659   0.335518284   0.000017705
 1.165805405   0.340154740   0.000016553
 1.151738601   0.336015175   0.000013930
 1.157830158   0.339234878   0.000021514
 1.150007648   0.336630324   0.000015151
 1.170808406   0.337745258   0.000014609
 1.148284132   0.335059361   0.000015129
 1.164349070   0.336007107   0.000015706
 1.142705092   0.336512429   0.000018529
 1.154722178   0.335469010   0.000012902
 1.156610787   0.336221227   0.000019095
 1.157479596   0.336348049   0.000014344
 1.155997587   0.335255748   0.000017710
 1.136312911   0.334343940   0.000013833
 1.145406655   0.335091456   0.000018032
 1.144526104   0.337032360   0.000015256
 1.169015255   0.336794160   0.000013286
 1.145298053   0.337302783   0.000012989
 1.162575420   0.335966334   0.000015071
 1.150092876   0.334350377   0.000018186
 1.163482525   0.335531358   0.000016748
 1.142733048   0.338666927   0.000018637
 1.152441338   0.334579914   0.000015589
 1.148301342   0.335901544   0.000015762
 1.157526700   0.334568010   0.000014233
 1.150756608   0.335150219   0.000014588
