#         C             m      sigmaj_m
 1.193447802   0.365496343   0.000023031
 1.172289196   0.360945684   0.000023472
 1.178245620   0.360527589   0.000020897
 1.188561384   0.361670802   0.000019564
 1.190725241   0.361371106   0.000019632
 1.185384936   0.362872160   0.000019239
 1.165874064   0.359586256   0.000025502
 1.175602435   0.363676765   0.000026764
 1.184030870   0.361822371   0.000022210
 1.191518621   0.365242223   0.000018440
 1.186251352   0.363301256   0.000027321
 1.179309793   0.360622819   0.000014653
 1.187229678   0.362779116   0.000022780
 1.177158561   0.361024369   0.000022570
 1.191090120   0.360882963   0.000024442
 1.182748111   0.361801367   0.000025078
 1.171261188   0.360577529   0.000024777
 1.182181221   0.362582871   0.000016325
 1.181021262   0.360489796   0.000023149
 1.188782300   0.363767762   0.000024836
