#         C             m      sigmaj_m
 1.075005533   0.348522999   0.000057780
 1.056680219   0.345009156   0.000058623
 1.051412875   0.337361503   0.000067860
 1.066521825   0.338353281   0.000056825
 1.038193589   0.336578054   0.000085457
 1.043965184   0.347812999   0.000070855
 1.061351031   0.340514301   0.000043187
 1.045858951   0.336962111   0.000053234
 1.047345292   0.338599842   0.000049471
 1.036128703   0.337362784   0.000063183
 1.045460373   0.338267221   0.000071883
 1.048512164   0.336871237   0.000069611
 1.156785889   0.361924184   0.000052629
 1.058318993   0.337828421   0.000049695
 1.041285574   0.338872454   0.000052758
 1.025005454   0.336538487   0.000068033
 1.063904731   0.347298680   0.000074981
 1.070189457   0.344233054   0.000039309
 1.060417052   0.337574792   0.000059864
 1.023183909   0.333992950   0.000064353
